class_name,count
予選,19791
一般,18806
準決勝,16638
特選,14093
チ予選,9907
チ一般,8057
選抜,6844
決勝,5551
初特選,5537
特一般,5467
特予選,5425
チ準決,5281
チ選抜,4188
ガ予１,3226
ガ予２,3214
一予選,2620
チ決勝,1979
ガ決勝,1595
ガ一般,1588
二予選,1529
特秀,490
予選２,162
予選１,140
男予２,120
一予２,120
男予１,120
一予１,112
二予Ａ,105
二予Ｂ,95
男一般,76
ガ選抜,72
特選予,67
優秀,52
ガ準決,49
一般一,45
特選二,42
ガ予選,35
ア予２,34
ア予１,34
特選一,32
一般二,30
選抜一,26
予２Ａ,22
予２Ｂ,22
予１Ａ,22
予１Ｂ,22
男ア般,20
男決勝,19
西二予,18
西予１,18
西予２,18
東二予,18
東予１,18
ＤＳ,18
東予２,18
ガ般Ａ,17
ガ般Ｂ,17
西一予,15
東一予,15
ア特般,14
ガ決Ａ,12
ガ決Ｂ,12
選抜二,12
ＷＳ,12
西準決,12
東準決,12
ガ特選,11
ア決勝,11
Ｓ企画,11
チ・Ｆ,10
ＤＲＭ,10
ル企画,10
Ａ級Ｆ,10
Ｇコレ,9
ア一般,8
予１Ｃ,6
予２Ｃ,6
東ガ予,6
西ガ予,6
青龍賞,6
毘沙門,6
ＳＴＲ,6
ＧＦＱ,6
ＳＰＲ,6
ＮＣ,6
ガ予Ａ,6
ガ予Ｂ,6
白虎賞,6
ローズ,5
シャイ,5
男ア決,5
ＤＭＤ,5
ＧＧＰ,5
ＹＧＰ,5
日競杯,5
ＧＰ,5
順位決,5
ＧＤＲ,5
ＯＲＩ,5
ティア,4
ＡＲＴ,4
ガ決Ｃ,3
ガ準Ｂ,3
ガ準Ａ,3
西ガ準,3
東ガ準,3
ガル企,3
ガ般Ｃ,3
チ企画,3
西特選,3
Ａ企画,3
ガ企画,3
東特選,3
ガ選Ｂ,2
ガ選Ａ,2
ア特選,1
