date,venue_name,venue_id
20111001,岐阜,43
20111002,玉野,61
20111002,岐阜,43
20111003,玉野,61
20111003,岐阜,43
20111004,玉野,61
20111004,武雄,84
20111005,函館,11
20111005,武雄,84
20111006,函館,11
20111006,武雄,84
20111007,松阪,47
20111007,函館,11
20111008,松阪,47
20111009,松阪,47
20111010,松阪,47
20111011,広島,62
20111011,別府,86
20111011,玉野,61
20111012,別府,86
20111012,広島,62
20111012,玉野,61
20111013,武雄,84
20111013,別府,86
20111013,広島,62
20111013,玉野,61
20111014,武雄,84
20111015,武雄,84
20111015,防府,63
20111016,防府,63
20111016,函館,11
20111017,函館,11
20111017,防府,63
20111017,久留米,83
20111018,久留米,83
20111018,函館,11
20111019,久留米,83
20111019,広島,62
20111019,岐阜,43
20111019,福井,51
20111020,広島,62
20111020,岐阜,43
20111020,福井,51
20111020,別府,86
20111021,広島,62
20111021,福井,51
20111021,岐阜,43
20111021,観音寺,
20111021,別府,86
20111022,観音寺,
20111022,別府,86
20111023,函館,11
20111023,観音寺,
20111024,函館,11
20111025,函館,11
20111026,大垣,44
20111026,久留米,83
20111026,防府,63
20111026,別府,86
20111027,久留米,83
20111027,防府,63
20111027,別府,86
20111027,大垣,44
20111028,大垣,44
20111028,久留米,83
20111028,防府,63
20111028,別府,86
20111029,観音寺,
20111030,観音寺,
20111031,観音寺,
20111101,観音寺,
20111102,広島,62
20111102,福井,51
20111103,福井,51
20111103,大垣,44
20111103,広島,62
20111104,福井,51
20111104,広島,62
20111104,大垣,44
20111105,玉野,61
20111105,大垣,44
20111106,玉野,61
20111106,大垣,44
20111106,久留米,83
20111107,松阪,47
20111107,玉野,61
20111107,久留米,83
20111108,小松島,73
20111108,久留米,83
20111108,松阪,47
20111109,小松島,73
20111109,松阪,47
20111109,武雄,84
20111110,武雄,84
20111110,小松島,73
20111111,武雄,84
20111111,観音寺,
20111112,観音寺,
20111113,観音寺,
20111114,玉野,61
20111114,別府,86
20111115,玉野,61
20111115,別府,86
20111116,別府,86
20111116,玉野,61
20111117,防府,63
20111118,久留米,83
20111118,防府,63
20111119,久留米,83
20111119,防府,63
20111119,岐阜,43
20111120,久留米,83
20111120,岐阜,43
20111120,防府,63
20111121,玉野,61
20111121,岐阜,43
20111121,松山,75
20111122,玉野,61
20111122,松山,75
20111122,広島,62
20111122,別府,86
20111123,玉野,61
20111123,広島,62
20111123,松阪,47
20111123,別府,86
20111123,松山,75
20111124,広島,62
20111124,久留米,83
20111124,別府,86
20111124,松阪,47
20111125,久留米,83
20111125,松阪,47
20111126,久留米,83
20111127,防府,63
20111128,防府,63
20111129,防府,63
20111129,小松島,73
20111130,松山,75
20111130,小松島,73
20111201,小松島,73
20111201,小倉,81
20111201,松山,75
20111202,小倉,81
20111202,広島,62
20111202,松山,75
20111203,広島,62
20111203,小倉,81
20111204,小倉,81
20111204,広島,62
20111205,松阪,47
20111205,武雄,84
20111205,大垣,44
20111206,大垣,44
20111206,武雄,84
20111206,松阪,47
20111207,松山,75
20111207,松阪,47
20111207,防府,63
20111207,大垣,44
20111207,武雄,84
20111208,松山,75
20111208,岐阜,43
20111208,防府,63
20111209,松山,75
20111209,岐阜,43
20111209,防府,63
20111210,岐阜,43
20111210,松山,75
20111210,久留米,83
20111210,伊東,37
20111211,久留米,83
20111211,伊東,37
20111212,久留米,83
20111212,伊東,37
20111212,松阪,47
20111213,伊東,37
20111213,松阪,47
20111214,松阪,47
20111215,広島,62
20111216,広島,62
20111217,広島,62
20111218,広島,62
20111219,別府,86
20111219,玉野,61
20111220,別府,86
20111220,玉野,61
20111221,別府,86
20111221,観音寺,
20111221,玉野,61
20111222,佐世保,85
20111222,大垣,44
20111222,観音寺,
20111223,大垣,44
20111223,観音寺,
20111223,佐世保,85
20111224,大垣,44
20111224,佐世保,85
20111225,佐世保,85
20111226,小松島,73
20111226,防府,63
20111226,久留米,83
20111227,防府,63
20111227,小松島,73
20111227,久留米,83
20111228,小松島,73
20111228,久留米,83
20111228,防府,63
20111228,平塚,35
20111229,平塚,35
20111230,平塚,35
20111231,広島,62
20120101,武雄,84
20120101,小松島,73
20120101,広島,62
20120101,大垣,44
20120102,大垣,44
20120102,小松島,73
20120102,広島,62
20120102,武雄,84
20120102,いわき平,13
20120103,武雄,84
20120103,小松島,73
20120103,大垣,44
20120103,いわき平,13
20120104,いわき平,13
20120108,武雄,84
20120108,和歌山,55
20120108,観音寺,
20120109,武雄,84
20120109,和歌山,55
20120109,観音寺,
20120110,武雄,84
20120110,和歌山,55
20120110,観音寺,
20120111,和歌山,55
20120111,松阪,47
20120112,岐阜,43
20120112,松阪,47
20120113,岐阜,43
20120113,松阪,47
20120114,岐阜,43
20120115,松山,75
20120116,松山,75
20120117,松山,75
20120118,別府,86
20120118,久留米,83
20120118,防府,63
20120118,玉野,61
20120119,玉野,61
20120119,久留米,83
20120119,防府,63
20120119,別府,86
20120119,松阪,47
20120120,久留米,83
