date,place
2011-10-01,岐阜
2011-10-02,玉野
2011-10-02,岐阜
2011-10-03,玉野
2011-10-03,岐阜
2011-10-04,玉野
2011-10-04,武雄
2011-10-05,函館
2011-10-05,武雄
2011-10-06,函館
2011-10-06,武雄
2011-10-07,松阪
2011-10-07,函館
2011-10-08,松阪
2011-10-09,松阪
2011-10-10,松阪
2011-10-11,広島
2011-10-11,別府
2011-10-11,玉野
2011-10-12,別府
2011-10-12,広島
2011-10-12,玉野
2011-10-13,武雄
2011-10-13,別府
2011-10-13,広島
2011-10-13,玉野
2011-10-14,武雄
2011-10-15,武雄
2011-10-15,防府
2011-10-16,防府
2011-10-16,函館
2011-10-17,函館
2011-10-17,防府
2011-10-17,久留米
2011-10-18,久留米
2011-10-18,函館
2011-10-19,久留米
2011-10-19,広島
2011-10-19,岐阜
2011-10-19,福井
2011-10-20,広島
2011-10-20,岐阜
2011-10-20,福井
2011-10-20,別府
2011-10-21,広島
2011-10-21,福井
2011-10-21,岐阜
2011-10-21,観音寺
2011-10-21,別府
2011-10-22,観音寺
2011-10-22,別府
2011-10-23,函館
2011-10-23,観音寺
2011-10-24,函館
2011-10-25,函館
2011-10-26,大垣
2011-10-26,久留米
2011-10-26,防府
2011-10-26,別府
2011-10-27,久留米
2011-10-27,防府
2011-10-27,別府
2011-10-27,大垣
2011-10-28,大垣
2011-10-28,久留米
2011-10-28,防府
2011-10-28,別府
2011-10-29,観音寺
2011-10-30,観音寺
2011-10-31,観音寺
2011-11-01,観音寺
2011-11-02,広島
2011-11-02,福井
2011-11-03,福井
2011-11-03,大垣
2011-11-03,広島
2011-11-04,福井
2011-11-04,広島
2011-11-04,大垣
2011-11-05,玉野
2011-11-05,大垣
2011-11-06,玉野
2011-11-06,大垣
2011-11-06,久留米
2011-11-07,松阪
2011-11-07,玉野
2011-11-07,久留米
2011-11-08,小松島
2011-11-08,久留米
2011-11-08,松阪
2011-11-09,小松島
2011-11-09,松阪
2011-11-09,武雄
2011-11-10,武雄
2011-11-10,小松島
2011-11-11,武雄
2011-11-11,観音寺
2011-11-12,観音寺
2011-11-13,観音寺
2011-11-14,玉野
2011-11-14,別府
2011-11-15,玉野
2011-11-15,別府
2011-11-16,別府
2011-11-16,玉野
2011-11-17,防府
2011-11-18,久留米
2011-11-18,防府
2011-11-19,久留米
2011-11-19,防府
2011-11-19,岐阜
2011-11-20,久留米
2011-11-20,岐阜
2011-11-20,防府
2011-11-21,玉野
2011-11-21,岐阜
2011-11-21,松山
2011-11-22,玉野
2011-11-22,松山
2011-11-22,広島
2011-11-22,別府
2011-11-23,玉野
2011-11-23,広島
2011-11-23,松阪
2011-11-23,別府
2011-11-23,松山
2011-11-24,広島
2011-11-24,久留米
2011-11-24,別府
2011-11-24,松阪
2011-11-25,久留米
2011-11-25,松阪
2011-11-26,久留米
2011-11-27,防府
2011-11-28,防府
2011-11-29,防府
2011-11-29,小松島
2011-11-30,松山
2011-11-30,小松島
2011-12-01,小松島
2011-12-01,小倉
2011-12-01,松山
2011-12-02,小倉
2011-12-02,広島
2011-12-02,松山
2011-12-03,広島
2011-12-03,小倉
2011-12-04,小倉
2011-12-04,広島
2011-12-05,松阪
2011-12-05,武雄
2011-12-05,大垣
2011-12-06,大垣
2011-12-06,武雄
2011-12-06,松阪
2011-12-07,松山
2011-12-07,松阪
2011-12-07,防府
2011-12-07,大垣
2011-12-07,武雄
2011-12-08,松山
2011-12-08,岐阜
2011-12-08,防府
2011-12-09,松山
2011-12-09,岐阜
2011-12-09,防府
2011-12-10,岐阜
2011-12-10,松山
2011-12-10,久留米
2011-12-10,伊東
2011-12-11,久留米
2011-12-11,伊東
2011-12-12,久留米
2011-12-12,伊東
2011-12-12,松阪
2011-12-13,伊東
2011-12-13,松阪
2011-12-14,松阪
2011-12-15,広島
2011-12-16,広島
2011-12-17,広島
2011-12-18,広島
2011-12-19,別府
2011-12-19,玉野
2011-12-20,別府
2011-12-20,玉野
2011-12-21,別府
2011-12-21,観音寺
2011-12-21,玉野
2011-12-22,佐世保
2011-12-22,大垣
2011-12-22,観音寺
2011-12-23,大垣
2011-12-23,観音寺
2011-12-23,佐世保
2011-12-24,大垣
2011-12-24,佐世保
2011-12-25,佐世保
2011-12-26,小松島
2011-12-26,防府
2011-12-26,久留米
2011-12-27,防府
2011-12-27,小松島
2011-12-27,久留米
2011-12-28,小松島
2011-12-28,久留米
2011-12-28,防府
2011-12-28,平塚
2011-12-29,平塚
2011-12-30,平塚
2011-12-31,広島
2012-01-01,武雄
2012-01-01,小松島
2012-01-01,広島
2012-01-01,大垣
2012-01-02,大垣
2012-01-02,小松島
2012-01-02,広島
2012-01-02,武雄
2012-01-02,いわき平
2012-01-03,武雄
2012-01-03,小松島
2012-01-03,大垣
2012-01-03,いわき平
2012-01-04,いわき平
2012-01-08,武雄
2012-01-08,和歌山
2012-01-08,観音寺
2012-01-09,武雄
2012-01-09,和歌山
2012-01-09,観音寺
2012-01-10,武雄
2012-01-10,和歌山
2012-01-10,観音寺
2012-01-11,和歌山
2012-01-11,松阪
2012-01-12,岐阜
2012-01-12,松阪
2012-01-13,岐阜
2012-01-13,松阪
2012-01-14,岐阜
2012-01-15,松山
2012-01-16,松山
2012-01-17,松山
2012-01-18,別府
2012-01-18,久留米
2012-01-18,防府
2012-01-18,玉野
2012-01-19,玉野
2012-01-19,久留米
2012-01-19,防府
2012-01-19,別府
2012-01-19,松阪
2012-01-20,久留米
2012-01-20,小松島
2012-01-20,別府
2012-01-20,防府
2012-01-20,松阪
2012-01-20,玉野
2012-01-21,松阪
2012-01-21,小松島
2012-01-21,いわき平
2012-01-22,小松島
2012-01-22,松山
2012-01-22,いわき平
2012-01-23,いわき平
2012-01-23,松山
2012-01-24,いわき平
2012-01-24,松山
2012-01-27,玉野
2012-01-27,小倉
2012-01-28,玉野
2012-01-28,岐阜
2012-01-28,小倉
2012-01-29,玉野
2012-01-29,久留米
2012-01-29,岐阜
2012-01-30,別府
2012-01-30,岐阜
2012-01-30,久留米
2012-01-30,防府
2012-01-31,松阪
2012-01-31,防府
2012-01-31,別府
2012-01-31,久留米
2012-02-01,防府
2012-02-01,別府
2012-02-01,松阪
2012-02-01,松山
2012-02-02,松阪
2012-02-02,前橋
2012-02-02,松山
2012-02-03,高知
2012-02-03,松山
2012-02-03,前橋
2012-02-04,高知
2012-02-05,高知
2012-02-06,武雄
2012-02-06,大垣
2012-02-07,武雄
2012-02-07,大垣
2012-02-07,小松島
2012-02-08,小松島
2012-02-08,大垣
2012-02-08,松山
2012-02-08,松阪
2012-02-08,武雄
2012-02-09,松山
2012-02-09,松阪
2012-02-09,岐阜
2012-02-09,小松島
2012-02-10,松山
2012-02-10,岐阜
2012-02-10,松阪
2012-02-10,小倉
2012-02-11,高松
2012-02-11,久留米
2012-02-11,小倉
2012-02-11,岐阜
2012-02-12,久留米
2012-02-12,高松
2012-02-13,高松
2012-02-13,久留米
2012-02-14,高松
2012-02-15,広島
2012-02-15,いわき平
2012-02-15,高知
2012-02-15,岐阜
2012-02-16,いわき平
2012-02-16,広島
2012-02-16,岐阜
2012-02-16,前橋
2012-02-16,高知
2012-02-17,高知
2012-02-17,いわき平
