開催場,くじ,キャリーオーバー表示,キャリーオーバー金額,次回発売予定
小田原,チャリロト,2106万1350円,"21,061,350","次回
                2026年01月31日
                00時30分ごろ発売予定"
小田原,チャリロトセレクト,6万900円,"60,900","次回
                2026年01月31日
                00時30分ごろ発売予定"
小田原,チャリロト５,111万9375円,"1,119,375",発売中
伊東,チャリロト,172万8900円,"1,728,900","次回
                2026年02月02日
                00時30分ごろ発売予定"
小松島,チャリロトセレクト,2万4375円,"24,375","次回
                2026年01月31日
                00時30分ごろ発売予定"
小松島,チャリロト５,山分けチャンス山分け30万円,"300,000","次回
                2026年01月31日
                00時30分ごろ発売予定"
奈良,チャリロト,337万7550円,"3,377,550",発売中
奈良,チャリロトセレクト,2万9100円,"29,100",発売中
奈良,チャリロト５,山分けチャンス山分け30万円,"300,000",発売中
松戸,チャリロト,385万7550円,"3,857,550","次回
                2026年02月04日
                00時30分ごろ発売予定"
松戸,チャリロトセレクト,46万8000円,"468,000","次回
                2026年02月04日
                00時30分ごろ発売予定"
松戸,チャリロト５,0円,0,"次回
                2026年02月04日
                00時30分ごろ発売予定"
別府,チャリロト,802万8600円,"8,028,600","次回
                2026年01月31日
                00時30分ごろ発売予定"
別府,チャリロトセレクト,0円,0,"次回
                2026年01月31日
                00時30分ごろ発売予定"
別府,チャリロト５,0円,0,"次回
                2026年01月31日
                00時30分ごろ発売予定"
