date,venue_id,race_no,frame_no,car_no,name_kanji,racer_id,age,prefecture,term,grade,style,gear,score,first_places,second_places,third_places,outs,win_rate,top2_rate,top3_rate,style_escape,style_sprint,style_chase,style_other,start_number,back_number,recent_place1,recent_date1,recent_result1_1,recent_result1_2,recent_result1_3,recent_result1_4,recent_place2,recent_date2,recent_result2_1,recent_result2_2,recent_result2_3,recent_result2_4,recent_place3,recent_date3,recent_result3_1,recent_result3_2,recent_result3_3,recent_result3_4,comment,line_id,line_pos
2025-05-31,12,1,1,1,添田　龍児,15617,24,神奈,121,Ａ２,逃,3.92,86.46,3,6,5,10,12.5,37.5,58.33,5,4,0,0,9,15,青森,05/31,,,,,岸和田,05/18,,,,,弥彦,05/11,予2,準2,決7,,自力,1,1
2025-05-31,12,1,2,2,川島　　勝,14048,42,長崎,89,Ａ２,追,3.92,85.61,2,5,2,9,11.11,38.89,50,0,0,2,5,0,0,青森,05/31,,,,,玉野,05/23,予7,般3,般6,,福井,05/14,予2,準7,般2,,岡崎君,2,2
2025-05-31,12,1,3,3,岩崎　大和,14362,40,茨城,94,Ａ２,追,3.92,79.90,0,2,3,15,0,10,25,0,0,1,1,0,0,青森,05/31,,,,,伊東,05/23,予4,抜6,,,岐阜,05/08,予5,般6,般2,,舘君,3,2
2025-05-31,12,1,4,4,亀井　久幸,14456,43,千葉,95,Ａ１,両,3.92,84.41,1,3,6,17,3.7,14.81,37.04,0,0,1,3,3,0,青森,05/31,,,,,高松,05/21,予4,準4,特5,,四日市,05/11,予7,般3,般1,,添田君,1,2
2025-05-31,12,1,5,5,岡崎　陸登,15734,27,愛媛,123,Ａ２,逃,3.92,84.00,2,4,1,8,13.33,40,46.67,2,4,0,0,3,6,青森,05/31,,,,,玉野,05/18,予3,準6,特2,,西武園,05/05,予5,般6,般6,,自力,2,1
2025-05-31,12,1,6,6,石井　　孝,12432,53,千葉,68,Ａ２,追,3.85,79.24,0,1,1,19,0,4.76,9.52,0,0,1,0,0,0,青森,05/31,,,,,松阪,05/20,予7,般2,般3,,岐阜,05/08,予6,般6,般7,,南関３番手,1,3
2025-05-31,12,1,6,7,舘　　真成,14654,38,茨城,98,Ａ２,両,3.86,81.23,4,0,2,16,18.18,18.18,27.27,3,0,1,0,2,5,青森,05/31,,,,,伊東,05/23,予6,般6,般6,,福井,05/14,予4,般1,特6,,自力,3,1
2025-05-31,12,2,1,1,菅谷　隆司,14510,40,東京,96,Ａ１,両,3.92,88.67,6,5,1,9,28.57,52.38,57.14,1,7,2,1,3,2,青森,05/31,,,,,函館,05/19,,,,,岸和田,05/09,初7,準7,般2,,自力,1,1
2025-05-31,12,2,2,2,江本　博明,14079,44,千葉,90,Ａ１,追,3.92,81.23,1,5,3,18,3.7,22.22,33.33,0,0,3,3,7,0,青森,05/31,,,,,四日市,05/23,予5,般3,般2,,大垣,05/14,般5,般6,,,根藤君,2,2
2025-05-31,12,2,3,3,藤野　貴章,14625,36,佐賀,97,Ａ２,両,3.92,83.61,2,4,5,12,8.7,26.09,47.83,0,2,2,2,4,0,青森,05/31,,,,,小松島,05/14,予5,抜7,般3,,岸和田,05/04,予7,般2,般1,,入江君,3,2
2025-05-31,12,2,4,4,入江　航太,15565,23,熊本,119,Ａ２,逃,3.93,82.61,1,1,2,14,5.56,11.11,22.22,2,0,0,0,6,6,青森,05/31,,,,,玉野,05/23,予5,抜2,特7,,西武園,05/05,予7,般6,般4,,自力,3,1
2025-05-31,12,2,5,5,根藤　浩二,14459,38,千葉,95,Ａ１,両,3.93,85.00,7,3,2,12,29.17,41.67,50,1,4,4,1,0,3,青森,05/31,,,,,伊東,05/23,予7,般1,特5,,いわき平,05/16,予1,準7,般1,,自力自在,2,1
2025-05-31,12,2,6,6,中野　功史,13663,47,長崎,84,Ａ２,追,3.92,80.86,0,1,5,16,0,4.55,27.27,0,0,1,0,0,0,青森,05/31,,,,,四日市,05/23,予5,般7,般5,,佐世保,05/01,予5,抜4,特7,,藤野君,3,3
2025-05-31,12,2,6,7,大橋　直人,13099,48,埼玉,77,Ａ２,追,3.85,83.13,1,2,1,13,5.88,17.65,23.53,0,0,2,1,0,0,青森,05/31,,,,,奈良,05/23,予6,般4,般5,,弥彦,05/11,予6,般2,特5,,菅谷君,1,2
2025-05-31,12,3,1,1,大島　将人,14354,36,福島,94,Ａ２,追,3.92,87.89,2,3,6,7,11.11,27.78,61.11,0,0,2,3,5,0,青森,05/31,,,,,伊東,05/23,予2,準3,特3,,大垣,05/08,予6,般1,特3,,門脇君,1,2
2025-05-31,12,3,2,2,鈴木雄一朗,14373,40,東京,94,Ａ２,両,3.92,78.20,0,1,0,14,0,6.67,6.67,0,0,0,1,0,1,青森,05/31,,,,,いわき平,05/16,予2,準7,般6,,岐阜,05/08,予7,般7,般4,,自力,2,1
2025-05-31,12,3,3,3,船瀬　惇平,15194,31,広島,111,Ａ１,逃,3.93,85.31,4,4,7,14,13.79,27.59,51.72,6,2,0,0,0,11,青森,05/31,,,,,玉野,05/23,予2,準7,特3,,いわき平,05/16,予5,般2,般3,,自力,3,1
2025-05-31,12,3,4,4,門脇　　翼,15156,31,秋田,111,Ａ２,逃,3.92,84.00,2,3,4,12,9.52,23.81,42.86,1,3,1,0,1,5,青森,05/31,,,,,函館,05/19,予4,準6,特7,,岐阜,05/08,予3,準7,般1,,自力自在,1,1
2025-05-31,12,3,5,5,市本　隆司,12757,53,広島,72,Ａ２,両,3.93,84.56,5,1,1,10,29.41,35.29,41.18,0,4,2,0,1,1,青森,05/31,,,,,大垣,05/20,予1,準1,決7,,高松,04/30,予4,抜4,般1,,船瀬君,3,2
2025-05-31,12,3,6,6,早川　成矢,13176,49,埼玉,78,Ａ２,両,3.92,77.33,0,2,1,18,0,9.52,14.29,2,0,0,0,0,5,青森,05/31,,,,,高松,05/21,,,,,大垣,05/14,予7,般7,般3,,鈴木君,2,2
2025-05-31,12,3,6,7,吉成　晃一,14274,39,熊本,92,Ａ２,追,3.92,80.42,1,2,0,9,8.33,25,25,0,1,1,1,0,1,青森,05/31,,,,,小倉,05/08,予2,準6,特6,,佐世保,05/01,予7,般6,般1,,広島勢へ,3,3
2025-05-31,12,4,1,1,菅田　謙仁,15084,32,宮城,109,Ａ１,両,3.83,84.42,1,5,3,15,4.17,25,37.5,4,0,0,2,18,9,青森,05/31,,,,,大垣,05/20,予4,準5,特2,,玉野,05/12,予3,準6,特5,,自力自在,1,1
2025-05-31,12,4,2,2,田中　雅史,13263,48,愛知,79,Ａ１,追,3.92,87.33,1,6,6,8,4.76,33.33,61.9,0,0,3,4,0,0,青森,05/31,,,,,京王閣,05/24,予4,準6,特2,,高松,04/30,予4,抜3,般2,,岩城君,2,2
2025-05-31,12,4,3,3,井手　尚治,12193,55,神奈,65,Ａ２,追,3.92,79.87,1,0,1,13,6.67,6.67,13.33,0,0,1,0,1,0,青森,05/31,,,,,函館,05/19,予5,般4,般1,,弥彦,05/11,予4,般7,般5,,野口君,3,2
2025-05-31,12,4,4,4,武田　哲二,12216,54,京都,65,Ａ１,追,3.93,79.48,1,2,3,15,4.76,14.29,28.57,0,0,2,1,4,0,青森,05/31,,,,,弥彦,05/20,予7,般6,般4,,奈良,05/11,予7,般2,般1,,中近３番手,2,3
2025-05-31,12,4,5,5,高橋　秀吉,13910,42,秋田,88,Ａ１,追,3.92,84.67,4,1,2,8,26.67,33.33,46.67,0,2,3,0,2,0,青森,05/31,,,,,伊東,05/23,予4,抜3,般1,,武雄,05/05,予1,準5,特3,,菅田君,1,2
2025-05-31,12,4,6,6,野口　修平,14994,37,神奈,105,Ａ２,逃,3.85,77.68,0,0,2,20,0,0,9.09,0,0,0,0,0,1,青森,05/31,,,,,伊東,05/23,予7,般5,般7,,川崎,05/15,般5,,,,自力,3,1
2025-05-31,12,4,6,7,岩城　佑典,15533,25,愛知,119,Ａ１,逃,3.92,87.00,2,4,3,11,10,30,45,1,2,3,0,3,5,青森,05/31,,,,,伊東,05/17,予2,準5,特6,,弥彦,05/01,予3,準7,特2,,自力,2,1
2025-05-31,12,5,1,1,荒木　伸哉,13859,46,静岡,87,Ａ１,追,3.92,85.67,2,4,4,11,9.52,28.57,47.62,0,0,3,3,4,0,青森,05/31,,,,,松阪,05/20,予5,般1,特4,,玉野,05/12,予6,般2,特4,,遠藤君,1,2
2025-05-31,12,5,2,2,朝日　　勇,12891,50,愛知,74,Ａ１,追,3.92,81.16,0,2,2,16,0,10,20,0,2,0,0,7,0,青森,05/31,,,,,京王閣,05/24,予6,,,,高知,05/17,予5,般2,特5,,山田君,2,2
2025-05-31,12,5,3,3,浦崎　貴史,12930,53,北海,75,Ａ２,追,3.93,81.67,1,2,1,12,6.25,18.75,25,0,0,1,2,0,0,青森,05/31,,,,,伊東,05/17,予5,般5,般4,,岸和田,05/09,予4,般2,特4,,太田君,3,2
2025-05-31,12,5,4,4,遠藤　勝弥,15095,35,静岡,109,Ａ１,両,3.93,89.00,2,3,6,7,11.11,27.78,61.11,1,1,0,3,8,5,青森,05/31,,,,,四日市,05/23,初4,準3,決3,,弥彦,05/01,予1,準3,特2,,自力自在,1,1
2025-05-31,12,5,5,5,太田　将成,15237,29,宮城,113,Ａ１,逃,3.93,83.96,2,2,7,13,8.33,16.67,45.83,3,0,1,0,2,11,青森,05/31,,,,,高松,05/21,予7,般1,特7,,福井,05/14,予5,般3,般5,,自力自在,3,1
2025-05-31,12,5,6,6,山田　隼司,14172,38,岐阜,91,Ａ２,両,3.92,79.90,1,4,1,15,4.76,23.81,28.57,4,0,0,1,1,6,青森,05/31,,,,,大垣,05/20,予6,般7,般6,,小倉,05/08,予7,般7,般7,,自力,2,1
