date,venue_id,race_no,frame_no,car_no,name_kanji,racer_id,age,prefecture,term,grade,style,gear,score,first_places,second_places,third_places,outs,win_rate,top2_rate,top3_rate,style_escape,style_sprint,style_chase,style_other,start_number,back_number,recent_place1,recent_date1,recent_result1_1,recent_result1_2,recent_result1_3,recent_result1_4,recent_place2,recent_date2,recent_result2_1,recent_result2_2,recent_result2_3,recent_result2_4,recent_place3,recent_date3,recent_result3_1,recent_result3_2,recent_result3_3,recent_result3_4,comment,line_id,line_pos,race_grade,class_name
2025-06-01,44,1,1,1,五十嵐博一,13299,51,熊本,79,Ａ３,追,3.85,67.67,0,2,6,16,0.0,8.33,33.33,0,0,1,1,1,0,大垣,05/30,予5,般2,,,高松,05/15,予4,抜7,般4,,平塚,05/01,予4,抜3,抜7,,田君の番手。,1,2,F2,チ一般
2025-06-01,44,1,2,2,明星　晴道,13509,48,愛媛,82,Ａ３,追,3.93,68.21,1,3,4,23,3.23,12.9,25.81,0,1,2,1,0,0,大垣,05/30,予7,般2,,,佐世保,05/23,予7,般5,般4,,高松,05/15,予3,準5,抜6,,何かできる事を。,2,1,F2,チ一般
2025-06-01,44,1,3,3,伊狩　知人,13728,47,奈良,85,Ａ３,追,3.92,70.44,1,3,8,16,3.57,14.29,42.86,0,0,1,3,10,0,大垣,05/30,予6,般3,,,弥彦,05/11,予6,般4,般5,,平塚,05/01,予3,準3,抜3,,竹田君の番手。,3,2,F2,チ一般
2025-06-01,44,1,4,4,近藤　直幹,12986,51,徳島,75,Ａ３,追,3.92,70.07,4,8,9,21,9.52,28.57,50.0,1,0,5,6,12,1,大垣,05/30,予5,般5,,,大宮,05/24,予3,準7,抜6,,高知,05/17,予5,般1,抜2,,明星君にお任せ。,2,2,F2,チ一般
2025-06-01,44,1,5,5,竹田　慎一,14395,46,富山,94,Ａ３,逃,3.92,66.72,2,1,1,14,11.11,16.67,22.22,3,0,0,0,0,8,大垣,05/30,予4,般3,,,高知,05/17,予5,般7,般3,,豊橋,05/05,,,,,自力です。,3,1,F2,チ一般
2025-06-01,44,1,6,6,田　　典幸,15478,33,熊本,117,Ａ３,逃,3.93,62.52,0,0,0,26,0.0,0.0,0.0,0,0,0,0,0,0,大垣,05/30,予6,般7,,,高松,05/15,予7,般5,般5,,伊東,05/04,,,,,自力です。,1,1,F2,チ一般
2025-06-01,44,1,6,7,元砂　海人,15270,35,奈良,113,Ａ３,両,3.92,70.27,0,6,2,7,0.0,40.0,53.33,0,0,3,3,1,0,大垣,05/30,予4,般4,,,高知,05/17,,,,,奈良,04/28,予2,準5,抜5,,伊狩さんの後ろ。,3,3,F2,チ一般
2025-06-01,44,2,1,1,千原　洋晋,13205,48,和歌,78,Ａ３,逃,3.85,65.52,5,2,3,23,15.15,21.21,30.3,5,1,1,0,6,7,大垣,05/30,予7,般6,,,松阪,05/20,般6,般6,,,四日市,05/17,般2,般1,,,自力です。,1,1,F2,チ一般
2025-06-01,44,2,2,2,山本　宏明,13591,46,徳島,83,Ａ３,追,3.92,71.44,0,5,7,13,0.0,20.0,48.0,0,0,0,5,2,0,大垣,05/30,予4,準7,,,豊橋,05/05,予3,準7,抜7,,函館,04/25,予3,準7,抜5,,岡崎君の番手。,2,2,F2,チ一般
2025-06-01,44,2,3,3,田島　高志,13269,47,三重,79,Ａ３,追,3.85,65.97,0,1,6,26,0.0,3.03,21.21,0,0,0,1,0,0,大垣,05/30,予6,般6,,,四日市,05/17,予5,般5,般2,,西武園,05/10,予4,抜5,般3,,近畿勢の後ろ。,1,3,F2,チ一般
2025-06-01,44,2,4,4,加藤　昌平,13366,49,福岡,80,Ａ３,追,3.85,71.89,2,6,8,13,6.9,27.59,55.17,0,0,2,6,4,0,大垣,05/30,予2,準7,,,高知,05/17,予3,準2,決7,,豊橋,05/05,予2,準6,抜2,,中四国勢に付く。,2,3,F2,チ一般
2025-06-01,44,2,5,5,岡崎　克政,14257,39,岡山,92,Ａ３,逃,3.92,71.78,21,8,3,18,42.0,58.0,64.0,23,2,3,1,4,31,大垣,05/30,,,,,佐世保,05/28,予1,準6,抜2,,函館,05/19,予1,準2,決7,,コメントなし。,2,1,F2,チ一般
2025-06-01,44,2,6,6,安藤　雄一,11655,57,福岡,59,Ａ３,追,3.79,63.47,0,0,2,28,0.0,0.0,6.67,0,0,0,0,4,0,大垣,05/30,予5,般5,,,佐世保,05/23,予7,般6,般6,,西武園,05/10,予5,抜3,般5,,加藤君の後ろ。,2,4,F2,チ一般
2025-06-01,44,2,6,7,高木　修二,14609,42,大阪,97,Ａ３,追,3.92,67.7,0,3,6,19,0.0,10.71,32.14,0,0,2,1,1,0,大垣,05/30,予7,般4,,,函館,05/14,予4,般2,般5,,小倉,05/01,予6,般3,般6,,千原君の番手。,1,2,F2,チ一般
2025-06-01,44,3,1,1,内村　竜也,14324,48,山口,93,Ａ３,追,3.92,71.08,4,4,7,12,14.81,29.63,55.56,1,0,4,3,3,1,大垣,05/30,予2,準6,,,立川,05/20,予3,準2,決7,,豊橋,05/05,予3,準4,抜3,,三登君ですね。,1,2,F2,チ選抜
2025-06-01,44,3,2,2,鰐渕　正利,12208,55,愛知,65,Ａ３,追,3.92,71.84,1,3,6,9,5.26,21.05,52.63,0,0,1,3,2,0,大垣,05/30,予2,準5,,,四日市,05/17,予5,般1,抜6,,奈良,05/11,予3,準4,抜4,,関谷君の番手。,2,2,F2,チ選抜
2025-06-01,44,3,3,3,富永　昌久,13972,44,佐賀,88,Ａ３,追,3.92,68.57,1,3,6,11,4.76,19.05,47.62,0,0,1,3,2,0,大垣,05/30,予3,準6,,,佐世保,05/23,予5,抜4,般3,,高知,05/17,予6,般2,般2,,永田君の番手。,3,2,F2,チ選抜
2025-06-01,44,3,4,4,眞鍋　伸也,13738,44,香川,85,Ａ３,追,3.92,69.36,0,3,0,14,0.0,17.65,17.65,0,0,0,3,3,0,大垣,05/30,予5,般1,,,佐世保,05/23,般6,般5,,,伊東,05/04,,,,,中国勢の後ろ。,1,3,F2,チ選抜
2025-06-01,44,3,5,5,関谷　哲平,14251,42,奈良,92,Ａ３,逃,3.85,70.18,6,4,1,11,27.27,45.45,50.0,7,2,1,0,2,7,大垣,05/30,予2,準4,,,西武園,05/10,,,,,奈良,04/28,予1,準7,般2,,自力です。,2,1,F2,チ選抜
2025-06-01,44,3,6,6,永田　秀佑,14957,33,長崎,103,Ａ３,両,3.92,67.67,4,1,1,15,19.05,23.81,28.57,3,1,0,1,0,4,大垣,05/30,予6,般1,,,佐世保,05/23,予1,準2,決7,,西武園,05/10,予7,般6,般6,,自力です。,3,1,F2,チ選抜
2025-06-01,44,3,6,7,三登　誉哲,14844,38,広島,100,Ａ３,両,3.93,69.24,14,4,0,19,37.84,48.65,48.65,10,5,2,1,0,13,大垣,05/30,予3,準5,,,川崎,05/23,予7,般1,抜7,,高松,05/15,予7,般2,般1,,自力自在にいく。,1,1,F2,チ選抜
2025-06-01,44,4,1,1,田川　辰二,12779,51,熊本,72,Ａ２,追,3.92,82.54,0,3,5,16,0.0,12.5,33.33,0,0,1,2,0,0,大垣,05/30,予7,般4,,,函館,05/19,予6,般3,般5,,武雄,05/05,予7,般4,般6,,米村君に任せる。,1,2,F2,特一般
2025-06-01,44,4,2,2,南儀　拓海,15627,26,富山,121,Ａ１,逃,3.86,92.67,8,7,5,7,29.63,55.56,74.07,9,5,1,0,8,17,大垣,05/30,初6,準7,,,岐阜,05/14,初5,準1,決5,,防府,04/27,初7,準1,決1,,自力です。,2,1,F2,特一般
