name_kanji,name_kana,prefecture,birthdate,age,gender,racer_id,term,grade,style
佐々木 浩三,ササキ コウゾウ,佐賀県,1962-05-23,62,男,10577,50,A3,追
高橋 京治,タカハシ キヨウジ,埼玉県,1963-11-26,61,男,10615,51,A3,追
三浦 靖,ミウラ ヤスシ,岐阜県,1964-09-29,60,男,10900,53,A2,追
村上 清隆,ムラカミ キヨタカ,山口県,1964-04-17,61,男,10920,53,A3,追
北沢 勝弘,キタザワ カツヒロ,栃木県,1962-09-21,62,男,10973,54,A3,追
小林 宏年,コバヤシ ヒロトシ,静岡県,1965-10-12,59,男,11142,55,A3,追
大竹 慎吾,オオタケ シンゴ,大分県,1965-06-13,59,男,11198,55,A3,追
中澤 孝之,ナカザワ タカユキ,大阪府,1965-06-09,59,男,11288,56,A2,追
長谷 俊昭,ハセ トシアキ,岡山県,1965-12-01,59,男,11301,56,A3,追
川添 輝彦,カワゾエ テルヒコ,沖縄県,1965-02-14,60,男,11328,56,A3,追
黒崎 直行,クロサキ ナオユキ,栃木県,1966-05-24,58,男,11341,57,A2,追
野崎 修一,ノザキ シユウイチ,栃木県,1963-02-07,62,男,11346,57,A3,追
遠澤 健二,トオサワ ケンジ,神奈川県,1965-02-13,60,男,11364,57,A3,追
石川 一浩,イシカワ カズヒロ,静岡県,1967-02-07,58,男,11367,57,A3,追
黒瀬 浩一,クロセ コウイチ,静岡県,1965-10-28,59,男,11372,57,A3,追
清水 広幸,シミズ ヒロユキ,愛知県,1966-12-14,58,男,11382,57,A2,追
小川 巧,オガワ タクミ,岡山県,1966-05-21,58,男,11417,57,A2,追
川口 秀人,カワグチ ヒデト,徳島県,1966-04-30,59,男,11427,57,A2,追
梶應 弘樹,カジオ コウキ,愛媛県,1965-10-21,59,男,11431,57,A3,追
重 一徳,シゲ カズノリ,鹿児島県,1964-04-02,61,男,11451,57,A2,追
杉浦 康一,スギウラ コウイチ,北海道,1965-04-06,60,男,11454,58,A2,追
川口 満宏,カワグチ ミツヒロ,東京都,1967-03-10,58,男,11477,58,S2,追
宮倉 勇,ミヤクラ イサム,千葉県,1964-07-16,60,男,11487,58,A1,追
