name,furigana,prefecture,birthdate,age,gender,snum,term,rank,style,score,～１昨年_合計_出走数,～１昨年_合計_優勝,～１昨年_合計_1着,～１昨年_合計_2着,～１昨年_合計_3着,～１昨年_合計_着外,～１昨年_合計_棄権,～１昨年_合計_失格,～１昨年_合計_勝率,～１昨年_合計_2連対率,～１昨年_合計_3連対率,～１昨年_F2_出走数,～１昨年_F2_優勝,～１昨年_F2_1着,～１昨年_F2_2着,～１昨年_F2_3着,～１昨年_F2_着外,～１昨年_F2_棄権,～１昨年_F2_失格,～１昨年_F2_勝率,～１昨年_F2_2連対率,～１昨年_F2_3連対率,～１昨年_F1_出走数,～１昨年_F1_優勝,～１昨年_F1_1着,～１昨年_F1_2着,～１昨年_F1_3着,～１昨年_F1_着外,～１昨年_F1_棄権,～１昨年_F1_失格,～１昨年_F1_勝率,～１昨年_F1_2連対率,～１昨年_F1_3連対率,～１昨年_G3_出走数,～１昨年_G3_優勝,～１昨年_G3_1着,～１昨年_G3_2着,～１昨年_G3_3着,～１昨年_G3_着外,～１昨年_G3_棄権,～１昨年_G3_失格,～１昨年_G3_勝率,～１昨年_G3_2連対率,～１昨年_G3_3連対率,～１昨年_G2_出走数,～１昨年_G2_優勝,～１昨年_G2_1着,～１昨年_G2_2着,～１昨年_G2_3着,～１昨年_G2_着外,～１昨年_G2_棄権,～１昨年_G2_失格,～１昨年_G2_勝率,～１昨年_G2_2連対率,～１昨年_G2_3連対率,～１昨年_G1_出走数,～１昨年_G1_優勝,～１昨年_G1_1着,～１昨年_G1_2着,～１昨年_G1_3着,～１昨年_G1_着外,～１昨年_G1_棄権,～１昨年_G1_失格,～１昨年_G1_勝率,～１昨年_G1_2連対率,～１昨年_G1_3連対率,～１昨年_GP_出走数,～１昨年_GP_優勝,～１昨年_GP_1着,～１昨年_GP_2着,～１昨年_GP_3着,～１昨年_GP_着外,～１昨年_GP_棄権,～１昨年_GP_失格,～１昨年_GP_勝率,～１昨年_GP_2連対率,～１昨年_GP_3連対率,昨年_合計_出走数,昨年_合計_優勝,昨年_合計_1着,昨年_合計_2着,昨年_合計_3着,昨年_合計_着外,昨年_合計_棄権,昨年_合計_失格,昨年_合計_勝率,昨年_合計_2連対率,昨年_合計_3連対率,昨年_F2_出走数,昨年_F2_優勝,昨年_F2_1着,昨年_F2_2着,昨年_F2_3着,昨年_F2_着外,昨年_F2_棄権,昨年_F2_失格,昨年_F2_勝率,昨年_F2_2連対率,昨年_F2_3連対率,昨年_F1_出走数,昨年_F1_優勝,昨年_F1_1着,昨年_F1_2着,昨年_F1_3着,昨年_F1_着外,昨年_F1_棄権,昨年_F1_失格,昨年_F1_勝率,昨年_F1_2連対率,昨年_F1_3連対率,昨年_G3_出走数,昨年_G3_優勝,昨年_G3_1着,昨年_G3_2着,昨年_G3_3着,昨年_G3_着外,昨年_G3_棄権,昨年_G3_失格,昨年_G3_勝率,昨年_G3_2連対率,昨年_G3_3連対率,昨年_G2_出走数,昨年_G2_優勝,昨年_G2_1着,昨年_G2_2着,昨年_G2_3着,昨年_G2_着外,昨年_G2_棄権,昨年_G2_失格,昨年_G2_勝率,昨年_G2_2連対率,昨年_G2_3連対率,昨年_G1_出走数,昨年_G1_優勝,昨年_G1_1着,昨年_G1_2着,昨年_G1_3着,昨年_G1_着外,昨年_G1_棄権,昨年_G1_失格,昨年_G1_勝率,昨年_G1_2連対率,昨年_G1_3連対率,昨年_GP_出走数,昨年_GP_優勝,昨年_GP_1着,昨年_GP_2着,昨年_GP_3着,昨年_GP_着外,昨年_GP_棄権,昨年_GP_失格,昨年_GP_勝率,昨年_GP_2連対率,昨年_GP_3連対率,本年_合計_出走数,本年_合計_優勝,本年_合計_1着,本年_合計_2着,本年_合計_3着,本年_合計_着外,本年_合計_棄権,本年_合計_失格,本年_合計_勝率,本年_合計_2連対率,本年_合計_3連対率,本年_F2_出走数,本年_F2_優勝,本年_F2_1着,本年_F2_2着,本年_F2_3着,本年_F2_着外,本年_F2_棄権,本年_F2_失格,本年_F2_勝率,本年_F2_2連対率,本年_F2_3連対率,本年_F1_出走数,本年_F1_優勝,本年_F1_1着,本年_F1_2着,本年_F1_3着,本年_F1_着外,本年_F1_棄権,本年_F1_失格,本年_F1_勝率,本年_F1_2連対率,本年_F1_3連対率,本年_G3_出走数,本年_G3_優勝,本年_G3_1着,本年_G3_2着,本年_G3_3着,本年_G3_着外,本年_G3_棄権,本年_G3_失格,本年_G3_勝率,本年_G3_2連対率,本年_G3_3連対率,本年_G2_出走数,本年_G2_優勝,本年_G2_1着,本年_G2_2着,本年_G2_3着,本年_G2_着外,本年_G2_棄権,本年_G2_失格,本年_G2_勝率,本年_G2_2連対率,本年_G2_3連対率,本年_G1_出走数,本年_G1_優勝,本年_G1_1着,本年_G1_2着,本年_G1_3着,本年_G1_着外,本年_G1_棄権,本年_G1_失格,本年_G1_勝率,本年_G1_2連対率,本年_G1_3連対率,本年_GP_出走数,本年_GP_優勝,本年_GP_1着,本年_GP_2着,本年_GP_3着,本年_GP_着外,本年_GP_棄権,本年_GP_失格,本年_GP_勝率,本年_GP_2連対率,本年_GP_3連対率,通算_合計_出走数,通算_合計_優勝,通算_合計_1着,通算_合計_2着,通算_合計_3着,通算_合計_着外,通算_合計_棄権,通算_合計_失格,通算_合計_勝率,通算_合計_2連対率,通算_合計_3連対率,通算_F2_出走数,通算_F2_優勝,通算_F2_1着,通算_F2_2着,通算_F2_3着,通算_F2_着外,通算_F2_棄権,通算_F2_失格,通算_F2_勝率,通算_F2_2連対率,通算_F2_3連対率,通算_F1_出走数,通算_F1_優勝,通算_F1_1着,通算_F1_2着,通算_F1_3着,通算_F1_着外,通算_F1_棄権,通算_F1_失格,通算_F1_勝率,通算_F1_2連対率,通算_F1_3連対率,通算_G3_出走数,通算_G3_優勝,通算_G3_1着,通算_G3_2着,通算_G3_3着,通算_G3_着外,通算_G3_棄権,通算_G3_失格,通算_G3_勝率,通算_G3_2連対率,通算_G3_3連対率,通算_G2_出走数,通算_G2_優勝,通算_G2_1着,通算_G2_2着,通算_G2_3着,通算_G2_着外,通算_G2_棄権,通算_G2_失格,通算_G2_勝率,通算_G2_2連対率,通算_G2_3連対率,通算_G1_出走数,通算_G1_優勝,通算_G1_1着,通算_G1_2着,通算_G1_3着,通算_G1_着外,通算_G1_棄権,通算_G1_失格,通算_G1_勝率,通算_G1_2連対率,通算_G1_3連対率,通算_GP_出走数,通算_GP_優勝,通算_GP_1着,通算_GP_2着,通算_GP_3着,通算_GP_着外,通算_GP_棄権,通算_GP_失格,通算_GP_勝率,通算_GP_2連対率,通算_GP_3連対率
佐々木 浩三,ササキ コウゾウ,佐賀県,1962/05/23,62歳,男,010577,50期,A級3班,追,64.87,3544,29,356,392,464,2252,52,30,10.0%,21.1%,34.1%,569,10,60,61,94,345,7,3,10.5%,21.2%,37.7%,1870,16,180,212,221,1211,32,15,9.6%,20.9%,32.7%,792,3,90,81,113,492,8,8,11.3%,21.5%,35.8%,73,0,5,12,8,48,0,0,6.8%,23.2%,34.2%,240,0,21,26,28,156,5,4,8.7%,19.5%,31.2%,,,,,,,,,,,,100,0,1,4,10,84,0,1,1.0%,5.0%,15.0%,85,0,1,4,8,71,0,1,1.1%,5.8%,15.2%,15,0,0,0,2,13,0,0,0.0%,0.0%,13.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,0,0,0,5,26,0,0,0.0%,0.0%,16.1%,31,0,0,0,5,26,0,0,0.0%,0.0%,16.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3675,29,357,396,479,2362,52,31,9.7%,20.4%,33.5%,685,10,61,65,107,442,7,4,8.9%,18.3%,34.0%,1885,16,180,212,223,1224,32,15,9.5%,20.7%,32.6%,792,3,90,81,113,492,8,8,11.3%,21.5%,35.8%,73,0,5,12,8,48,0,0,6.8%,23.2%,34.2%,240,0,21,26,28,156,5,4,8.7%,19.5%,31.2%,,,,,,,,,,,
高橋 京治,タカハシ キヨウジ,埼玉県,1963/11/26,61歳,男,010615,51期,A級3班,追,64.51,3263,35,365,394,438,1990,67,15,11.1%,23.2%,36.6%,1125,31,202,153,161,572,32,6,17.9%,31.5%,45.8%,1598,4,126,175,220,1046,28,7,7.8%,18.8%,32.6%,508,0,36,64,54,346,7,2,7.0%,19.6%,30.3%,28,0,1,1,3,23,0,0,3.5%,7.1%,17.8%,4,0,0,1,0,3,0,0,0.0%,25.0%,25.0%,,,,,,,,,,,,59,0,0,1,6,50,2,0,0.0%,1.6%,11.8%,59,0,0,1,6,50,2,0,0.0%,1.6%,11.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,0,0,0,4,33,0,0,0.0%,0.0%,10.8%,37,0,0,0,4,33,0,0,0.0%,0.0%,10.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3359,35,365,395,448,2073,69,15,10.8%,22.6%,35.9%,1221,31,202,154,171,655,34,6,16.5%,29.1%,43.1%,1598,4,126,175,220,1046,28,7,7.8%,18.8%,32.6%,508,0,36,64,54,346,7,2,7.0%,19.6%,30.3%,28,0,1,1,3,23,0,0,3.5%,7.1%,17.8%,4,0,0,1,0,3,0,0,0.0%,25.0%,25.0%,,,,,,,,,,,
三浦 靖,ミウラ ヤスシ,岐阜県,1964/09/29,60歳,男,010900,53期,A級2班,追,80.25,3147,26,338,377,401,1963,57,11,10.7%,22.7%,35.4%,691,13,98,94,105,393,1,0,14.1%,27.7%,42.9%,1624,13,151,195,202,1033,38,5,9.2%,21.3%,33.7%,623,0,68,70,66,404,10,5,10.9%,22.1%,32.7%,41,0,2,6,4,29,0,0,4.8%,19.5%,29.2%,168,0,19,12,24,104,8,1,11.3%,18.4%,32.7%,,,,,,,,,,,,73,0,2,1,16,54,0,0,2.7%,4.1%,26.0%,57,0,2,1,11,43,0,0,3.5%,5.2%,24.5%,16,0,0,0,5,11,0,0,0.0%,0.0%,31.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,0,0,2,4,21,0,0,0.0%,7.4%,22.2%,18,0,0,2,3,13,0,0,0.0%,11.1%,27.7%,9,0,0,0,1,8,0,0,0.0%,0.0%,11.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3247,26,340,380,421,2038,57,11,10.4%,22.1%,35.1%,766,13,100,97,119,449,1,0,13.0%,25.7%,41.2%,1649,13,151,195,208,1052,38,5,9.1%,20.9%,33.5%,623,0,68,70,66,404,10,5,10.9%,22.1%,32.7%,41,0,2,6,4,29,0,0,4.8%,19.5%,29.2%,168,0,19,12,24,104,8,1,11.3%,18.4%,32.7%,,,,,,,,,,,
村上 清隆,ムラカミ キヨタカ,山口県,1964/04/17,61歳,男,010920,53期,A級3班,追,65.03,3179,27,240,363,511,1984,62,21,7.5%,18.9%,35.0%,1157,21,153,198,216,552,23,16,13.2%,30.3%,49.0%,1436,6,62,118,192,1033,28,3,4.3%,12.5%,25.9%,486,0,20,38,87,331,9,2,4.1%,11.9%,29.8%,59,0,2,8,10,37,2,0,3.3%,16.9%,33.8%,41,0,3,1,6,31,0,0,7.3%,9.7%,24.3%,,,,,,,,,,,,69,0,2,6,14,46,1,0,2.8%,11.5%,31.8%,69,0,2,6,14,46,1,0,2.8%,11.5%,31.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,0,0,0,3,24,0,0,0.0%,0.0%,11.1%,27,0,0,0,3,24,0,0,0.0%,0.0%,11.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3275,27,242,369,528,2054,63,21,7.3%,18.6%,34.7%,1253,21,155,204,233,622,24,16,12.3%,28.6%,47.2%,1436,6,62,118,192,1033,28,3,4.3%,12.5%,25.9%,486,0,20,38,87,331,9,2,4.1%,11.9%,29.8%,59,0,2,8,10,37,2,0,3.3%,16.9%,33.8%,41,0,3,1,6,31,0,0,7.3%,9.7%,24.3%,,,,,,,,,,,
北沢 勝弘,キタザワ カツヒロ,栃木県,1962/09/21,62歳,男,010973,54期,A級3班,追,62.88,3191,26,326,385,425,1979,50,28,10.2%,22.2%,35.6%,1476,22,185,198,208,851,20,15,12.5%,25.9%,40.0%,1292,3,100,151,155,854,21,12,7.7%,19.4%,31.4%,387,1,39,36,56,247,8,1,10.0%,19.3%,33.8%,28,0,2,0,3,22,1,0,7.1%,7.1%,17.8%,8,0,0,0,3,5,0,0,0.0%,0.0%,37.5%,,,,,,,,,,,,60,0,0,3,14,39,3,2,0.0%,5.0%,28.3%,60,0,0,3,14,39,3,2,0.0%,5.0%,28.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,0,0,0,0,17,0,2,0.0%,0.0%,0.0%,19,0,0,0,0,17,0,2,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3270,26,326,388,439,2035,53,32,9.9%,21.8%,35.2%,1555,22,185,201,222,907,23,19,11.8%,24.8%,39.0%,1292,3,100,151,155,854,21,12,7.7%,19.4%,31.4%,387,1,39,36,56,247,8,1,10.0%,19.3%,33.8%,28,0,2,0,3,22,1,0,7.1%,7.1%,17.8%,8,0,0,0,3,5,0,0,0.0%,0.0%,37.5%,,,,,,,,,,,
小林 宏年,コバヤシ ヒロトシ,静岡県,1965/10/12,59歳,男,011142,55期,A級3班,追,68.15,3218,19,380,367,436,1986,27,22,11.8%,23.2%,36.7%,1698,14,216,208,279,958,18,19,12.7%,24.9%,41.4%,1083,4,104,124,109,735,8,3,9.6%,21.0%,31.1%,402,1,58,33,45,265,1,0,14.4%,22.6%,33.8%,27,0,2,2,2,21,0,0,7.4%,14.8%,22.2%,8,0,0,0,1,7,0,0,0.0%,0.0%,12.5%,,,,,,,,,,,,89,0,3,8,16,61,0,1,3.3%,12.3%,30.3%,89,0,3,8,16,61,0,1,3.3%,12.3%,30.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,0,0,1,9,16,0,0,0.0%,3.8%,38.4%,26,0,0,1,9,16,0,0,0.0%,3.8%,38.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3333,19,383,376,461,2063,27,23,11.4%,22.7%,36.6%,1813,14,219,217,304,1035,18,20,12.0%,24.0%,40.8%,1083,4,104,124,109,735,8,3,9.6%,21.0%,31.1%,402,1,58,33,45,265,1,0,14.4%,22.6%,33.8%,27,0,2,2,2,21,0,0,7.4%,14.8%,22.2%,8,0,0,0,1,7,0,0,0.0%,0.0%,12.5%,,,,,,,,,,,
大竹 慎吾,オオタケ シンゴ,大分県,1965/06/13,59歳,男,011198,55期,A級3班,追,72.74,3091,39,371,370,441,1867,30,15,12.0%,23.9%,38.2%,362,21,84,58,55,163,2,0,23.2%,39.2%,54.4%,1588,11,174,185,230,979,16,5,10.9%,22.6%,37.0%,818,7,82,94,110,516,10,8,10.0%,21.5%,34.9%,83,0,7,9,14,53,0,0,8.4%,19.2%,36.1%,240,0,24,24,32,156,2,2,10.0%,20.0%,33.3%,,,,,,,,,,,,83,0,3,6,11,61,1,1,3.6%,10.8%,24.0%,58,0,3,4,9,40,1,1,5.1%,12.0%,27.5%,25,0,0,2,2,21,0,0,0.0%,8.0%,16.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,0,1,8,5,13,0,0,3.7%,33.3%,51.8%,27,0,1,8,5,13,0,0,3.7%,33.3%,51.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3201,39,375,384,457,1941,31,16,11.7%,23.7%,37.9%,447,21,88,70,69,216,3,1,19.6%,35.3%,50.7%,1613,11,174,187,232,1000,16,5,10.7%,22.3%,36.7%,818,7,82,94,110,516,10,8,10.0%,21.5%,34.9%,83,0,7,9,14,53,0,0,8.4%,19.2%,36.1%,240,0,24,24,32,156,2,2,10.0%,20.0%,33.3%,,,,,,,,,,,
中澤 孝之,ナカザワ タカユキ,大阪府,1965/06/09,59歳,男,011288,56期,A級2班,追,79.27,2796,23,361,322,307,1757,37,15,12.9%,24.4%,35.4%,486,6,78,67,69,266,4,2,16.0%,29.8%,44.0%,1495,15,186,186,154,946,19,5,12.4%,24.8%,35.1%,592,2,71,53,66,388,9,6,11.9%,20.9%,32.0%,54,0,5,8,4,34,3,1,9.2%,24.0%,31.4%,169,0,21,8,14,123,2,1,12.4%,17.1%,25.4%,,,,,,,,,,,,65,0,3,10,9,43,0,0,4.6%,20.0%,33.8%,39,0,2,7,7,23,0,0,5.1%,23.0%,41.0%,26,0,1,3,2,20,0,0,3.8%,15.3%,23.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0,0,0,1,17,0,0,0.0%,0.0%,5.5%,15,0,0,0,0,15,0,0,0.0%,0.0%,0.0%,3,0,0,0,1,2,0,0,0.0%,0.0%,33.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2879,23,364,332,317,1817,37,15,12.6%,24.1%,35.1%,540,6,80,74,76,304,4,2,14.8%,28.5%,42.5%,1524,15,187,189,157,968,19,5,12.2%,24.6%,34.9%,592,2,71,53,66,388,9,6,11.9%,20.9%,32.0%,54,0,5,8,4,34,3,1,9.2%,24.0%,31.4%,169,0,21,8,14,123,2,1,12.4%,17.1%,25.4%,,,,,,,,,,,
長谷 俊昭,ハセ トシアキ,岡山県,1965/12/01,59歳,男,011301,56期,A級3班,追,64.26,3029,7,242,306,369,2068,33,11,7.9%,18.0%,30.2%,667,5,71,76,64,444,8,4,10.6%,22.0%,31.6%,1708,2,114,163,232,1182,14,3,6.6%,16.2%,29.8%,576,0,52,61,65,383,11,4,9.0%,19.6%,30.9%,52,0,5,4,6,37,0,0,9.6%,17.3%,28.8%,26,0,0,2,2,22,0,0,0.0%,7.6%,15.3%,,,,,,,,,,,,94,0,0,1,8,85,0,0,0.0%,1.0%,9.5%,73,0,0,1,8,64,0,0,0.0%,1.3%,12.3%,21,0,0,0,0,21,0,0,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,0,0,0,4,34,0,0,0.0%,0.0%,10.5%,38,0,0,0,4,34,0,0,0.0%,0.0%,10.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3161,7,242,307,381,2187,33,11,7.6%,17.3%,29.4%,778,5,71,77,76,542,8,4,9.1%,19.0%,28.7%,1729,2,114,163,232,1203,14,3,6.5%,16.0%,29.4%,576,0,52,61,65,383,11,4,9.0%,19.6%,30.9%,52,0,5,4,6,37,0,0,9.6%,17.3%,28.8%,26,0,0,2,2,22,0,0,0.0%,7.6%,15.3%,,,,,,,,,,,
川添 輝彦,カワゾエ テルヒコ,沖縄県,1965/02/14,60歳,男,011328,56期,A級3班,追,68.66,3122,12,291,384,503,1870,60,19,9.3%,21.6%,37.7%,2582,8,232,317,430,1540,50,17,8.9%,21.2%,37.9%,495,1,49,60,69,306,10,2,9.8%,22.0%,35.9%,45,3,10,7,4,24,0,0,22.2%,37.7%,46.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,0,3,7,9,69,2,1,3.3%,11.1%,21.1%,78,0,2,7,8,59,2,1,2.5%,11.5%,21.7%,12,0,1,0,1,10,0,0,8.3%,8.3%,16.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,0,1,4,4,24,0,1,2.9%,14.7%,26.4%,34,0,1,4,4,24,0,1,2.9%,14.7%,26.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3246,12,295,395,516,1963,62,21,9.0%,21.2%,37.1%,2694,8,235,328,442,1623,52,19,8.7%,20.8%,37.3%,507,1,50,60,70,316,10,2,9.8%,21.6%,35.5%,45,3,10,7,4,24,0,0,22.2%,37.7%,46.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
