date,venue_id,race_no,rank,car_no,age,pref,grade,diff,last_time,finishing,s,b,line_id,line_pos,snum,name_kanji
20200516,62,1,1,5,40,広島県,A級1班,,12.9,捲くり,,,5,1,15281,増田　　仁
20200516,62,1,2,1,,,,１／２車身,12.8,マーク,,,5,2,,平坂　典也
20200516,62,1,3,3,42,東京都,A級1班,３／４車身,12.8,,,,4,1,14070,秋葉　大輔
20200516,62,1,3,7,46,山口県,A級3班,３／４車身,12.8,,,,5,3,13651,井山　和裕
20200516,62,1,5,8,47,栃木県,A級3班,３／４車身,12.7,,,,3,1,13397,鈴木龍之介
20200516,62,1,6,6,39,熊本県,A級2班,１　　車輪,12.6,,,,2,1,14274,吉成　晃一
20200516,62,1,7,2,,,,１　　車身,12.8,,,,1,2,,中山　匡男
20200516,62,1,8,4,38,福岡県,A級3班,３　　車身,13.6,,S,B,1,1,14266,宮本　龍一
20200516,62,2,1,5,34,長野県,A級3班,,12.2,捲くり,,B,1,1,14666,等々力久就
20200516,62,2,2,1,,,,３／４車身,12.1,マーク,,,1,2,,徳永　真一
20200516,62,2,3,8,56,千葉県,A級3班,１　　車身,12.1,,,,1,3,12277,井上　典善
20200516,62,2,4,2,53,香川県,A級3班,１／８車輪,12.2,,,,5,2,12472,大山　泰伸
20200516,62,2,5,3,47,岡山県,A級2班,３／４車身,12.0,,,,3,1,13646,日浅　保幸
20200516,62,2,6,4,,,,３／４車輪,11.8,,,,2,1,,森山　昌昭
20200516,62,2,7,6,37,宮崎県,A級3班,３／４車身,11.7,,,,4,1,14855,東　　隆之
20200516,62,2,8,9,38,岡山県,A級1班,３／４車輪,12.1,,S,,3,2,14321,石坂　永伍
20200516,62,2,9,7,36,香川県,A級2班,大差,14.4,,,,5,1,14412,宮崎　康司
20200516,62,3,1,4,55,広島県,A級2班,,11.9,差し,,,2,3,12760,櫻井　宏智
20200516,62,3,2,7,49,山梨県,A級1班,１／８車輪,12.1,差し,,,3,3,13560,小佐野文秀
20200516,62,3,3,8,31,静岡県,A級3班,３／４車輪,12.3,,,B,3,1,15175,桜井　大地
20200516,62,3,4,6,51,栃木県,A級3班,１／２車身,11.9,,,,3,4,12944,渡邊　恭典
20200516,62,3,5,1,45,岡山県,A級1班,１／２車輪,12.1,,,,2,2,13884,守谷　陽介
20200516,62,3,6,3,39,和歌山県,A級1班,１　　車輪,12.0,,S,,1,1,15057,小林　史也
20200516,62,3,失,2,38,静岡県,A級1班,,,,,,3,2,14528,落合　達彦
20200516,62,3,落,5,27,愛媛県,S級2班,,,,,,2,1,15378,今野　有樹
20200516,62,3,落,9,55,岐阜県,A級2班,,,,,,1,2,12112,冨岡　健一
20200516,62,4,1,5,26,福井県,S級2班,,11.4,捲くり,,B,3,1,15362,脇本　勇希
20200516,62,4,2,3,47,栃木県,A級1班,３／４車身,11.4,マーク,,,4,2,13615,山口　貴弘
20200516,62,4,2,3,41,佐賀県,S級2班,３／４車身,11.4,マーク,,,4,2,14268,山口　貴弘
20200516,62,4,3,6,49,和歌山県,A級2班,２　　車身,11.5,,,,3,3,13127,北浦　弘幹
20200516,62,4,4,1,42,福井県,A級2班,３／４車身,11.6,,,,3,2,13957,堂村　知哉
20200516,62,4,5,7,34,徳島県,A級1班,１／８車輪,11.6,,,,1,1,14684,松本　卓也
20200516,62,4,6,9,49,青森県,A級1班,３／４車身,11.5,,,,2,2,13005,小笠原昭太
20200516,62,4,7,2,41,岡山県,A級1班,３／４車輪,11.5,,,,1,2,14258,片山　智晴
20200516,62,4,8,4,39,山形県,A級2班,４　　車身,12.1,,,,2,1,14572,赤塚　悠人
20200516,62,4,9,8,41,宮崎県,A級2班,９　　車身,13.0,,,,4,1,14495,下沖　功児
20200516,62,5,1,3,27,熊本県,S級1班,,10.8,捲くり,S,,3,1,15298,嘉永　泰斗
20200516,62,5,2,1,,,,２　　車身,11.6,差し,,,2,2,,山下　貴之
20200516,62,5,3,5,36,神奈川県,A級1班,１　　車身,11.8,,,B,2,1,14584,井上　　嵩
20200516,62,5,4,9,36,沖縄県,A級1班,４　　車身,11.4,,,,3,2,14566,安谷屋将志
20200516,62,5,5,8,46,山口県,A級2班,３　　車身,11.2,,,,4,3,13652,隅　　直幸
20200516,62,5,6,2,35,岡山県,S級2班,１／８車輪,11.4,,,,4,2,14881,山崎　泰己
20200516,62,5,7,6,38,香川県,A級2班,１／８車輪,11.5,,,,4,1,14619,木村　浩宣
20200516,62,5,8,7,38,東京都,A級1班,１／２車身,11.6,,,,1,2,14586,近藤　寛央
20200516,62,5,9,4,40,埼玉県,A級1班,８　　車身,12.4,,,,1,1,15042,高橋　泰裕
20200516,62,6,1,7,27,埼玉県,L級1班,,12.9,捲くり,,,5,1,15485,青木　美保
20200516,62,6,2,1,24,佐賀県,L級1班,１／２車身,12.8,マーク,,,3,1,15503,田中　月菜
20200516,62,6,3,3,25,山口県,L級1班,１／２車身,12.9,,,,2,1,15498,國村美留莉
20200516,62,6,4,5,24,三重県,L級1班,１／４車輪,13.0,,,B,6,1,15494,近澤　諒香
20200516,62,6,5,6,24,神奈川県,L級1班,３／４車身,12.9,,,,7,1,15488,中村　美那
