date,venue_id,venue_name,race_no,rank_within_race,car_no,name_kanji,predicted_rank
2025-06-10,21,弥彦,1,1,3,長澤　　彩,2.54
2025-06-10,21,弥彦,1,2,2,加瀬加奈子,2.95
2025-06-10,21,弥彦,1,3,1,宇野　紅音,3.38
2025-06-10,21,弥彦,1,4,5,向井　　円,4.07
2025-06-10,21,弥彦,1,5,6,比嘉真梨代,5.25
2025-06-10,21,弥彦,1,6,4,吉岡　詩織,5.32
2025-06-10,21,弥彦,1,7,7,佐藤亜貴子,5.78
2025-06-10,21,弥彦,2,1,1,太田　りゆ,1.94
2025-06-10,21,弥彦,2,2,2,太田　瑛美,3.82
2025-06-10,21,弥彦,2,3,3,小坂　知子,4.18
2025-06-10,21,弥彦,2,4,5,枝光　美奈,4.48
2025-06-10,21,弥彦,2,5,6,三森　彩桜,5.20
2025-06-10,21,弥彦,2,6,4,安東　莉奈,6.15
2025-06-10,21,弥彦,2,7,7,佐伯　智恵,7.45
2025-06-10,21,弥彦,3,1,4,根藤　浩二,2.22
2025-06-10,21,弥彦,3,2,5,金子　浩貴,2.89
2025-06-10,21,弥彦,3,3,2,中武三四郎,3.01
2025-06-10,21,弥彦,3,4,1,小林　卓人,3.40
2025-06-10,21,弥彦,3,5,3,飯尾　主税,3.95
2025-06-10,21,弥彦,3,6,6,戸塚　涼介,4.63
2025-06-10,21,弥彦,3,7,7,早川　成矢,5.53
2025-06-10,21,弥彦,4,1,2,土田　栄二,1.02
2025-06-10,21,弥彦,4,2,4,金子　兼久,2.88
2025-06-10,21,弥彦,4,3,1,山崎　輝夫,4.02
2025-06-10,21,弥彦,4,4,5,柴田　竜史,4.20
2025-06-10,21,弥彦,4,5,3,森田　康嗣,4.97
2025-06-10,21,弥彦,4,6,6,石井　　毅,6.07
2025-06-10,21,弥彦,4,7,7,本田　拓也,6.21
2025-06-10,21,弥彦,5,1,1,成田　健児,3.40
2025-06-10,21,弥彦,5,2,2,石田　拓真,3.48
2025-06-10,21,弥彦,5,3,3,坪内　　恒,4.30
2025-06-10,21,弥彦,5,4,6,齋藤　輝彦,5.33
2025-06-10,21,弥彦,5,5,5,木本　賢二,5.59
2025-06-10,21,弥彦,5,6,4,松山　桂輔,5.60
2025-06-10,21,弥彦,5,7,7,南　　大輔,6.26
2025-06-10,21,弥彦,6,1,2,泉　　慶輔,3.21
2025-06-10,21,弥彦,6,2,1,岡部　伶音,3.38
2025-06-10,21,弥彦,6,3,3,平石　浩之,4.05
2025-06-10,21,弥彦,6,4,4,佐藤譲士郎,4.94
2025-06-10,21,弥彦,6,5,5,梅原　大治,5.25
2025-06-10,21,弥彦,6,6,6,森川　　剛,5.67
2025-06-10,21,弥彦,6,7,7,前川　裕希,6.06
2025-06-10,21,弥彦,7,1,2,松本　京太,2.14
2025-06-10,21,弥彦,7,2,6,西　　　徹,4.43
2025-06-10,21,弥彦,7,3,1,櫻井　　丈,4.68
2025-06-10,21,弥彦,7,4,3,佐々木吉徳,4.84
2025-06-10,21,弥彦,7,5,5,會田　正一,5.00
2025-06-10,21,弥彦,7,6,4,明田　春喜,5.62
2025-06-10,21,弥彦,7,7,7,橋本　大祐,5.80
2025-06-10,21,弥彦,8,1,1,平野　想真,3.50
2025-06-10,21,弥彦,8,2,2,宝満　大作,3.79
2025-06-10,21,弥彦,8,3,6,中込　健太,3.97
2025-06-10,21,弥彦,8,4,4,坂上　忠克,4.08
2025-06-10,21,弥彦,8,5,5,伊早坂駿一,4.14
2025-06-10,21,弥彦,8,6,3,山崎　敦雄,5.37
2025-06-10,21,弥彦,8,7,7,黒崎　直行,6.26
2025-06-10,21,弥彦,9,1,4,小田倉勇二,3.19
2025-06-10,21,弥彦,9,2,1,鈴木　涼介,3.58
2025-06-10,21,弥彦,9,3,5,渡辺　正光,3.61
2025-06-10,21,弥彦,9,4,6,堀　　兼壽,4.15
2025-06-10,21,弥彦,9,5,7,渡邊　　健,4.75
2025-06-10,21,弥彦,9,6,2,牧田　悠生,5.29
2025-06-10,21,弥彦,9,7,3,古川　尚耶,5.51
2025-06-10,24,宇都宮,1,1,4,藤野　一良,2.79
2025-06-10,24,宇都宮,1,2,3,勝部　貴博,3.31
2025-06-10,24,宇都宮,1,3,7,相樂　　修,3.33
2025-06-10,24,宇都宮,1,4,2,小川　将人,3.46
2025-06-10,24,宇都宮,1,5,1,伊藤　　翼,4.18
2025-06-10,24,宇都宮,1,6,5,隅田　幸助,4.46
2025-06-10,24,宇都宮,1,7,6,中村敏之輔,5.19
2025-06-10,24,宇都宮,2,1,4,西川　弘資,3.50
2025-06-10,24,宇都宮,2,2,2,長野　和弘,3.65
2025-06-10,24,宇都宮,2,3,5,竹内　優也,3.90
2025-06-10,24,宇都宮,2,4,1,山崎　光展,4.80
2025-06-10,24,宇都宮,2,5,7,松根　　真,4.93
2025-06-10,24,宇都宮,2,6,6,真崎　章徳,5.30
2025-06-10,24,宇都宮,2,7,3,深井　高志,5.57
2025-06-10,24,宇都宮,3,1,1,比佐　宝太,1.17
2025-06-10,24,宇都宮,3,2,2,川上　隆義,1.81
2025-06-10,24,宇都宮,3,3,5,小橋　明紀,3.21
2025-06-10,24,宇都宮,3,4,4,近藤　寛央,3.74
2025-06-10,24,宇都宮,3,5,3,高本　和也,3.98
2025-06-10,24,宇都宮,3,6,6,黒田　大介,4.14
2025-06-10,24,宇都宮,3,7,7,金野　俊秋,6.82
2025-06-10,24,宇都宮,4,1,3,谷口　幸司,2.79
2025-06-10,24,宇都宮,4,1,7,山中　崇弘,2.79
2025-06-10,24,宇都宮,4,3,2,梅山　英樹,2.96
2025-06-10,24,宇都宮,4,4,1,松岡　孔明,3.04
2025-06-10,24,宇都宮,4,5,6,中里福太郎,4.80
2025-06-10,24,宇都宮,4,6,5,稲毛　知也,5.53
2025-06-10,24,宇都宮,4,7,4,林　　昌幸,5.59
2025-06-10,24,宇都宮,5,1,1,上川　直紀,1.94
2025-06-10,24,宇都宮,5,2,7,小林　史也,3.90
2025-06-10,24,宇都宮,5,3,2,土岐　幹多,3.97
2025-06-10,24,宇都宮,5,4,6,鮒田　博文,4.23
2025-06-10,24,宇都宮,5,5,4,石川　雅望,4.51
2025-06-10,24,宇都宮,5,6,5,近藤　範昌,4.62
2025-06-10,24,宇都宮,5,7,3,多田　晃紀,4.82
2025-06-10,24,宇都宮,6,1,2,浮島　知稀,3.31
2025-06-10,24,宇都宮,6,2,4,稲村　好将,3.57
2025-06-10,24,宇都宮,6,3,1,北野　武史,3.96
2025-06-10,24,宇都宮,6,4,7,上田　裕和,4.73
2025-06-10,24,宇都宮,6,5,6,宮下　貴之,6.17
2025-06-10,24,宇都宮,6,6,5,富　　弥昭,6.40
2025-06-10,24,宇都宮,6,7,3,山本　浩成,8.11
2025-06-10,24,宇都宮,7,1,5,川口　直人,3.75
2025-06-10,24,宇都宮,7,2,1,筒井　裕哉,4.66
2025-06-10,24,宇都宮,7,3,2,桐山敬太郎,4.81
